,avatar,posts,followers,likes,engagement_rate
395,briannas_day,781,24K,781,3.3
396,industryprintshop,1.9K,24K,1.91K,1.1
397,anaizquierdo1,617,24K,617,2
398,niidjarbeng_lightville,4.7K,24K,4.65K,1.6
399,ceremony,97,24K,97,6.4
400,officepowerdressing,1K,25K,1.02K,1
401,latina_hasta_la_madre,5.2K,25K,5.17K,0.5
402,coleccionistas.adictos,4.1K,25K,4.14K,0.1
403,spotlightuk,585,25K,585,1.9
404,joecalih,212,25K,212,2.6
405,h2oplusbeauty,1K,25K,0.98K,0.3
406,saurabhsabikhi,1.1K,25K,1.06K,3.5
407,docemilia,1.2K,25K,1.22K,3.7
408,nkcfung,1.7K,25K,1.74K,1.6
409,renatagregori,871,25K,871,0.9
410,its__beetlejuice,3.4K,25K,3.40K,0.4
411,michaelbyatt,1.7K,25K,1.70K,3.3
412,ayrskincare,2.3K,25K,2.28K,0.9
413,lindassweets,1K,25K,0.95K,0.7
414,antwerpensmaakt,281,25K,281,0.6
415,adelineklam,2K,25K,2.04K,1.1
416,axline_rose_rock,727,25K,727,5.6
417,lastcraftdesigns,1.6K,25K,1.60K,0.3
418,chiomawedsdavido,1.6K,25K,1.64K,0.2
419,foreo_pl,1.4K,25K,1.39K,0.3
420,eliasdermatology,776,25K,776,0.2
421,dr.yassminetarek,168,25K,168,0.1
422,1stklaseravers,64,25K,64,3.5
423,diivyaasingh,813,25K,813,1.2
424,8v,285,25K,285,3.9
425,autotruckoficial,481,25K,481,0.4
426,mahmoud__alaydi,170,25K,170,2.1
427,ohok.things,672,25K,672,2.9
428,bluediamond,1K,25K,0.97K,0.2
429,coriandergirl,2.2K,25K,2.19K,2.6
430,anthraxinstagram,1.2K,25K,1.16K,1.2
431,chai_k_diwane,453,25K,453,9.9
432,kungfu_maniac,88,25K,88,2.2
433,injagallery,630,25K,1,3
434,officialmusicforall,5.3K,25K,5.33K,0.5
435,aureliosrinteln,112,25K,112,1
436,oxbowpublicmarket,1.1K,25K,1.14K,0.7
437,patelpallabi,177,25K,177,8
438,landletterei,0.9K,25K,0.91K,5.8
439,alonglastname,722,25K,722,9.5
440,eventbyleatys,1.2K,25K,1.24K,0.9
441,fk8tuners,2.6K,25K,2.59K,4.1
442,spanishvillager,77,25K,77,2
443,acahayunaescuelaedelp,2.5K,25K,2.45K,0.2
444,heyitsnit,418,25K,418,0.7
445,jimberemag,1.3K,25K,1.26K,0.7
446,shanesview,634,25K,634,1.7
447,inteluk,656,25K,656,1.3
