id,avatar,posts,followers,likes,engagement_rate
547,elcinsangu,271,8.2M,271,4.7
548,alexisren,734,14.1M,734,3.7
549,chelseaislan,1K,14.1M,1.02K,0.5
550,elliegoulding,626,14.1M,626,0.6
551,akadanidaniels,14.1K,6.9M,14.06K,1.2
552,thrashermag,10.1K,6.9M,10.14K,1.4
553,chynomiranda,5K,6.9M,5.04K,1.1
554,ivanaalawi,366,6.9M,366,7.6
555,janetjackson,1.5K,6.9M,1.46K,1.3
556,jaspritb1,661,9.5M,661,5.6
557,thiago6,457,9.5M,457,3.4
558,creators,1K,9.5M,0.95K,0.2
559,maxgalkinru,2.5K,9.5M,2.47K,1.6
560,kajol,716,12.4M,716,2.3
561,briandadeyanara,287,12.4M,287,4.3
562,melissamelmaia,3K,12.4M,3K,6.4
563,anastasiya_kvitko,1.1K,12.4M,1.07K,1.3
564,dukissj,28,5.8M,28,7.4
565,juanjaramilloe,2.6K,5.8M,2.63K,0.6
566,sherrihill,8.9K,5.8M,8.94K,0.6
567,frenkiedejong,382,10.9M,382,7
568,cazzu,318,10.9M,318,6.6
569,iamamyjackson,479,10.9M,479,0.6
570,ncentineo,383,17.7M,383,6.7
571,angelababyct,0.9K,8.2M,0.93K,1.3
572,itsmarziapie,1.7K,8.2M,1.67K,9.1
573,willyrex,835,8.2M,835,10
574,punpun_sutatta,2.6K,8.2M,2.57K,1
575,6ix9ine,140,21.6M,140,10.4
576,sidmalhotra,1.1K,21.6M,1.14K,2.9
577,gatenm123,0.9K,14.1M,0.90K,6.3
578,zefelipecantor,567,14.1M,567,2.9
579,lucaskokapenteado,498,9.5M,498,3.7
580,natgeoadventure,7.7K,9.5M,7.66K,0.2
581,rvcjinsta,121.2K,9.5M,121.17K,0.7
582,munisarizaeva,4.1K,5.8M,4.11K,0.9
583,sameer_mark,3.2K,5.8M,3.17K,1.2
584,nipseyhussle,2.2K,5.8M,2.18K,10.1
585,jumana_khan_,2.3K,5.8M,2.34K,1.4
586,leilahadioui,4.1K,5.8M,4.09K,0.4
587,rudymancuso,2.1K,12.5M,2.11K,0.8
588,angelasimmons,13.3K,6.9M,13.33K,0.8
589,antdavis23,441,6.9M,441,5.8
590,atifaslam,464,6.9M,464,5.4
591,avicii,1.3K,6.9M,1.29K,13.9
592,lilyrose_depp,378,6.9M,378,8.9
593,muratboz,887,10.9M,887,1.8
594,gabyespino,7.2K,10.9M,7.23K,1.2
595,irfanhakim75,8.9K,19.6M,8.90K,0.2
596,thiagosilva,2.2K,19.6M,2.18K,1.3
597,kendralust,1.2K,8.2M,1.22K,1.2
598,hungria_oficial,2,8.2M,2,2.2
599,chidinmaekile,57,8.2M,57,0.3
600,mirelajanis,1.6K,8.2M,1.55K,3.9
601,ebi,1.8K,8.2M,1.81K,3.8
602,sarahlahbati,3K,8.2M,3.01K,1.2
603,marianarios,6.1K,8.2M,6.08K,0.5
604,charlieputh,42,15.9M,42,3.8
605,brunogagliasso,6.1K,21.7M,6.10K,0.5
606,kylieskin,2.1K,5.8M,2.13K,0.5
607,leopicon,4.2K,5.8M,4.21K,1
608,official_g_i_dle,1.9K,5.8M,1.87K,2.9
609,buzzfeed,15.1K,5.8M,15.14K,0.2
610,nishabhattofficial77,1.4K,5.8M,1.37K,1.3
611,netflixes,3.4K,5.8M,3.44K,0.7
612,manurios,265,10.9M,265,8.4
613,dcyoungfly,9.8K,10.9M,9.81K,0.9
614,joebiden,1.7K,17.7M,1.69K,3.8
615,twhiddleston,49,9.5M,49,8.8
616,rogerfederer,397,9.5M,397,5.5
617,nengoflowofficial,3.9K,6.9M,3.94K,2.1
618,kblock43,12.5K,6.9M,12.47K,0.4
619,maradona,0.9K,6.9M,0.91K,4.6
620,simonebiles,2.5K,6.9M,2.48K,2
621,pevpearce,1.1K,14.1M,1.09K,1.5
622,diamondplatnumz,9.2K,14.1M,9.23K,0.8
623,ginaindelicada,2.8K,7M,2.81K,3.7
624,netflixfr,3.7K,7M,3.68K,1.7
625,tasyafarasya,2.3K,5.8M,2.33K,2
626,mariotestino,2.3K,5.8M,2.34K,0.4
627,lucas_lira,0.9K,5.8M,0.92K,10
628,idriselba,159,5.8M,159,1
629,nupursanon,643,5.8M,643,2.1
630,portugal,5.3K,12.5M,5.27K,2
631,stebinben,174,12.5M,174,1.3
632,nashgrier,1.4K,11M,1.41K,1.8
633,dennycagur,3.5K,11M,3.51K,0.3
634,pele,775,11M,775,2.6
635,winmetawin,675,14.1M,675,6.7
636,tommyhilfiger,339,14.1M,339,0.1
637,equipedefrance,4.8K,8.2M,4.84K,0.8
638,kto_takaya,2.3K,7M,2.26K,7
639,eizagonzalez,467,7M,467,5.6
640,miamiheat,12.9K,5.8M,12.94K,0.8
641,sushmitasen47,1.4K,5.8M,1.39K,2.7
642,guaynaa,512,5.8M,512,2.9
643,mascherano14,489,5.8M,489,2.7
644,lukebryan,1.5K,5.8M,1.55K,0.9
645,time,7.6K,11M,7.63K,0.2
646,bobmarley,2.7K,5.9M,2.72K,1.3
647,superstar_dewasi99,198,5.9M,198,6.3
648,lancomeofficial,822,5.9M,822,0.1
649,ngoctrinh89,2.9K,5.9M,2.94K,1.2
650,hiramaniofficial,3.9K,5.9M,3.93K,1.3
651,monicadenise,117,12.5M,117,0.7
652,araujovivianne,6.6K,14.1M,6.59K,1
653,colorful,20.8K,8.2M,20.83K,0.2
654,nimratkhairaofficial,251,8.2M,251,3.4
655,thuggerthugger1,31,8.2M,31,4.3
656,donatella_versace,1.3K,8.2M,1.31K,2.3
657,myfabolouslife,7.1K,8.2M,7.07K,1.2
658,juliapuzzuoli,1.3K,8.2M,1.26K,1.8
659,twentyonepilots,1.3K,8.2M,1.29K,6.1
660,hugogloss,42.9K,19.6M,42.86K,0.4
661,rawan,2.1K,7M,2.07K,1.3
662,melissapmarizzle,157,7M,157,2.9
663,history,3.3K,7M,3.28K,0.4
664,lambe_turah,14.5K,11M,14.48K,0.8
665,yuvisofficial,1K,15.9M,1.05K,1.7
666,thedeverakonda,322,17.7M,322,8.6
667,evaluna,1.5K,19.7M,1.53K,5.9
668,vickykaushal09,1.3K,14.2M,1.31K,8.4
669,cbum,1.9K,12.5M,1.90K,6.1
670,madelyncline,132,12.5M,132,10
671,remyma,1K,8.2M,0.95K,2.6
672,donomar,84,8.2M,84,0.7
673,hmhome,2.3K,5.9M,2.31K,0.5
674,officiallymcconaughey,209,5.9M,209,3.7
675,daisykeech,829,5.9M,829,2.8
676,mehraveee,529,5.9M,529,2.5
677,rajkummar_rao,645,5.9M,645,5.3
678,alvxaro,587,5.9M,587,10.4
679,_aashikabhatia_,3.3K,5.9M,3.33K,2.2
680,madslewis,77,7M,77,5.7
681,andreavaldirisos,371,7M,371,12.9
682,iamhearte,14.3K,11M,14.28K,0.5
683,kodakblack,8,11M,8,3.6
684,sebas,1.1K,11M,1.12K,1.1
685,shrutzhaasan,2.4K,21.7M,2.38K,0.8
686,discovery,3.9K,17.7M,3.86K,0.3
687,ridwankamil,7.7K,17.7M,7.68K,0.5
688,elfcosmetics,7.9K,5.9M,7.87K,0.3
689,yogotti,60,5.9M,60,1
690,ashtonirwin,111,5.9M,111,4.3
691,diljitdosanjh,8.6K,14.2M,8.58K,2.4
692,machinegunkelly,377,9.5M,377,7.7
693,vjwoonsen,10.3K,9.5M,10.30K,0.3
694,pautips,3.7K,8.2M,3.75K,1.2
695,fatosdesconhecidos,6.5K,8.2M,6.45K,0.6
696,lynaritaa,470,7M,470,2.6
697,sakshimalikk,1.3K,7M,1.29K,2.4
698,ekremimamoglu,10.6K,7M,10.61K,1.5
699,natalee.007,425,7M,425,5.6
700,kellyrowland,1.2K,11M,1.20K,1.8
701,realbarbarapalvin,1.8K,15.9M,1.81K,9
702,flamengo,32.7K,15.9M,32.66K,0.7
703,tammyhembrow,3.5K,15.9M,3.50K,0.7
704,wonderful_places,7.9K,21.7M,7.86K,0.4
705,jessiej,252,9.6M,252,1.3
706,bronny,12,5.9M,12,21.5
707,theeconomist,16.1K,5.9M,16.12K,0.1
708,dejloaf,9,5.9M,9,0.7
709,funny,4.5K,5.9M,4.55K,0.3
710,laurenconrad,1.7K,5.9M,1.69K,1.3
711,joselyncano,260,12.6M,260,2.1
712,kkvsh,357,8.3M,357,3.4
713,baifernbah,4.1K,8.3M,4.14K,1.9
714,jennettemccurdy,136,8.2M,136,1.1
715,sunanda_ss,852,7M,852,1.4
716,anygabriellyofficial,1.2K,7M,1.16K,5.8
717,ppteamrafa,1.4K,7M,1.35K,1.2
718,michaeljackson,0.9K,7M,0.90K,2.7
719,andreybatt,840,7M,840,1.9
720,kajalaggarwalofficial,1.9K,21.8M,1.94K,2.8
721,miketyson,1.1K,17.8M,1.06K,1.4
722,starbucks,2.4K,17.8M,2.44K,0.4
723,bt21_official,1.2K,5.9M,1.25K,2.8
724,sonideas,11.9K,5.9M,11.94K,0.5
725,epicgames,2.1K,5.9M,2.10K,0.4
726,julianabonde,793,5.9M,793,5.5
727,ignaciaa_antonia,769,9.6M,769,4.6
728,cavaniofficial21,1.1K,9.6M,1.08K,1.8
729,filmymantramedia,9.8K,7M,9.82K,0
730,reynmen,48,7M,48,9.7
731,nbatv,27K,7M,27.02K,0.3
732,sarahjessicaparker,2.4K,8.3M,2.40K,1.1
733,tulsikumar15,3.5K,8.3M,3.52K,1
734,quavohuncho,4.4K,21.8M,4.37K,1.4
735,bbcnews,15.4K,21.8M,15.41K,0.3
736,catriona_gray,2.1K,11M,2.14K,2.5
737,silambarasantrofficial,166,11M,166,2.6
738,sophiedee,441,12.6M,441,1.5
739,pornhub,5.6K,12.6M,5.60K,0.6
740,lucianohuck,3K,19.7M,3.04K,0.8
741,rosalia.vt,0.9K,19.7M,0.91K,7.8
742,mikasingh,3.5K,5.9M,3.55K,0.3
743,actorsuriya,38,5.9M,38,16.3
744,boity,2.5K,5.9M,2.48K,1.2
745,celsoportiolli,5.1K,9.6M,5.08K,0.3
746,jailyneojeda,420,14.2M,420,2.5
747,powerofpositivity,16K,7M,15.96K,0.4
748,imbrittanya,227,7M,227,2.9
749,coinmasterofficial,0.9K,7M,0.95K,0.4
750,parmishverma,1.8K,7M,1.80K,1.6
751,liltjay,2,7M,2,4.8
752,ashleybenson,2.4K,21.8M,2.39K,1.2
753,iremderici,701,8.3M,701,0.9
754,michaelronda,598,8.3M,598,0.8
755,disneyland,2K,8.3M,2.02K,0.8
756,candiceking,1.9K,9.6M,1.94K,5.1
757,karimepindter,1.4K,5.9M,1.40K,2.4
758,residente,2.9K,5.9M,2.91K,2.6
759,sctv,24.5K,5.9M,24.49K,0.3
760,trolls_official,163.2K,7.1M,163.19K,0.2
761,botanovna_,3.7K,7M,3.68K,7.3
762,anilorak,3.9K,7M,3.85K,1.5
763,nct,2.5K,14.2M,2.45K,8
764,audi,2.4K,16M,2.42K,0.6
765,malaikaaroraofficial,3.3K,16M,3.26K,1.1
766,fernandasouzaoficial,6.1K,21.8M,6.15K,0.7
767,rakulpreet,1.6K,21.8M,1.61K,1.4
768,charles_leclerc,1.1K,9.6M,1.05K,6.3
769,urstrulymahesh,414,8.3M,414,5.8
770,tarasutaria,803,8.3M,803,4.7
771,mauochmann,819,8.3M,819,3.5
772,freefirelatam,2.2K,8.3M,2.23K,0.9
773,gopro,7.3K,19.8M,7.31K,0.3
774,theonlykiaramia,1.6K,5.9M,1.63K,0.3
775,whitegirlpoliticking,1.2K,5.9M,1.16K,1.7
776,jennaortega,1.4K,5.9M,1.37K,7.2
777,germangarmendia,544,14.3M,544,7
778,billboard,19.1K,14.3M,19.15K,0.4
779,mercedesbenz_de,7.8K,7.1M,7.81K,0.3
780,manishmalhotra05,6.7K,7.1M,6.70K,0.6
781,richforever,899,16M,899,0.7
782,serenawilliams,2K,16M,2.01K,1.2
783,_irishbella_,1.1K,21.8M,1.07K,0.6
784,rodrigofaro,4K,21.8M,4.03K,0.6
785,magazineluiza,2.5K,5.9M,2.49K,0.1
786,oye_indori,1K,5.9M,1K,7.7
787,therealkarismakapoor,1.9K,5.9M,1.91K,2
788,superjanella,1.5K,7.1M,1.52K,3.6
789,jessnolimit,382,7.1M,382,4.2
790,jessica.syj,1.1K,11.1M,1.08K,2.2
791,alvaromorte,426,11.1M,426,5.9
792,trippieredd,3,12.6M,3,7.3
793,earthfocus,10.2K,9.6M,10.25K,1.1
794,thalia,10.3K,19.8M,10.26K,0.4
795,gianlucavacchi,3.2K,19.8M,3.18K,4.9
796,ticipinheiro,9.4K,8.3M,9.36K,1
797,jackieappiah,1K,8.3M,0.98K,0.9
798,dulcemaria,2.6K,8.3M,2.63K,5.7
799,realpz,1.1K,8.3M,1.14K,2.4
800,anamosconi,1K,8.3M,1.04K,3.1
801,agusbernasconi07,1.1K,7.1M,1.08K,1.7
802,thechainsmokers,1,7.1M,1,4.7
803,trevornoah,700,7.1M,700,3.1
804,nianaguerrero,1.1K,14.3M,1.15K,4.3
805,pewdiepie,773,21.9M,773,7.6
806,bclsinclair,5.2K,21.9M,5.22K,0.9
807,aurakasih,2.2K,11.1M,2.16K,0.4
808,jaguar,2.9K,12.6M,2.88K,0.4
809,pabllovittar,2.9K,12.6M,2.93K,1.9
810,joellemardinian,9.8K,19.8M,9.81K,0.4
811,popstantot,335,5.9M,335,5.2
812,gymshark,555,5.9M,555,0.5
813,mylifeaseva,311,8.3M,311,3.3
814,oliviapalermo,1.9K,7.1M,1.87K,0.5
815,alissonbecker,1K,7.1M,0.98K,4.1
816,calvinklein,6.4K,21.9M,6.43K,0.2
817,hegdepooja,1.5K,21.9M,1.47K,3.5
818,7_luhan_m,189,12.6M,189,6.5
819,natgeowild,6.3K,12.6M,6.28K,0.4
820,foodnetwork,20.2K,12.6M,20.21K,0.1
821,balqeesfathi,4.4K,11.1M,4.38K,0.4
822,leaelui,530,11.1M,530,8.2
823,wizkidayo,32,16.1M,32,2.2
824,tenlee_1001,254,6M,254,23.4
825,enjoyphoenix,1.9K,6M,1.86K,1.3
826,paula_verhoeven,1.7K,6M,1.66K,1.3
827,betches,10.6K,8.3M,10.60K,1.1
828,mclarenauto,5K,9.7M,5.02K,0.4
829,kaigreene,3.4K,7.1M,3.38K,0.7
830,jokatemwegelo,1.6K,7.1M,1.56K,0.2
831,rambodjavan1,2.7K,11.1M,2.66K,1
832,anupamaparameswaran96,1.2K,11.1M,1.23K,5.2
833,keke,4.1K,11.1M,4.15K,1
834,ralphlauren,7.2K,14.3M,7.21K,0.1
835,mikhail_litvin,513,14.3M,513,8.6
836,demirose,511,19.8M,511,1.8
837,jessicaalba,4.6K,19.8M,4.56K,0.7
838,landonorris,1.7K,6M,1.67K,10.1
839,riyadmahrez26.7,447,9.7M,447,4.2
840,bypamella,773,9.7M,773,4
841,iamsofiaandres,1.5K,8.3M,1.55K,0.6
842,only1jshea,60,7.1M,60,0.8
843,lilly,5K,12.7M,5.05K,0.7
844,anacheri,0.9K,12.7M,0.94K,0.7
845,johannafadul,3K,6M,3.04K,1.2
846,coach,6.3K,6M,6.32K,0.1
847,toochi_kash,829,6M,829,1.3
848,abdevilliers17,649,19.9M,649,2.9
849,galileamontijo,5.9K,9.7M,5.87K,0.8
850,violadavis,3.2K,8.3M,3.20K,1.5
851,nastya_nass_,439,8.3M,439,7.7
852,greysabc,2.3K,8.3M,2.27K,4.5
853,lanacondor,698,11.2M,698,7.4
854,karenwazen,4.4K,7.1M,4.36K,2.8
855,scary,6.6K,7.1M,1,0
856,maiomar_,806,7.1M,806,2.4
857,iamandalioloisa,0.9K,9.7M,0.93K,1
858,montaner,2.9K,8.4M,2.86K,1.9
859,angela_aguilar_,1.3K,7.1M,1.28K,8.4
860,faz3,2.4K,14.4M,2.40K,3
861,showimah,3.5K,14.4M,3.52K,0.2
862,sahilkhan,4K,11.2M,4.02K,2.3
863,yara,5K,11.2M,5.01K,0.2
864,ferdinan_sule,1.8K,6M,1.76K,1.4
865,loud_miih,170,6M,170,4
866,mercedesbenzusa,12K,6M,11.99K,0.1
867,kajalafrida,4K,6M,4.03K,0.7
868,_jeongjaehyun,76,12.7M,76,20.8
869,swaelee,250,9.7M,250,1.6
870,aidanrgallagher,2.6K,7.1M,2.61K,8.8
871,onedirection,733,22M,733,17.5
872,oharaingrid,1.2K,11.2M,1.24K,1.7
873,simoneesimaria,6.6K,19.9M,6.58K,1
874,_imyour_joy,1K,14.4M,0.99K,4.7
875,washingtonpost,12.7K,6M,12.72K,0.7
876,haniszalikha,7.4K,6M,7.40K,1.9
877,flor_de_p,4.3K,6M,4.33K,0.8
878,dogs.lovers,1.6K,6M,1.64K,0.6
879,mindykaling,5.3K,6M,5.27K,2.1
880,rm_bighitentertainment,62,8.4M,62,16.9
881,shopee_id,12.2K,8.4M,12.25K,0.2
882,miyayeah,2.9K,8.4M,2.85K,3
883,dccomics,4.3K,12.7M,4.35K,0.3
884,anamaria16,8.4K,12.7M,8.37K,0.4
885,memphisdepay,1.9K,16.1M,1.87K,1.5
886,ritaora,414,16.1M,414,0.8
887,kingbach,5K,22M,4.97K,1.3
888,yasmine_sabri,1.2K,14.4M,1.16K,3.9
889,angeldimariajm,1.3K,19.9M,1.25K,2.3
890,jessicabiel,816,11.2M,816,1.7
891,alluarjunonline,463,11.2M,463,10.4
892,katedelcastillo,3.2K,8.4M,3.19K,1.2
893,hyunah_aa,5.5K,16.1M,5.48K,3.5
894,aditi_bhatia4,175,6M,175,3.6
895,leroysane,609,6M,609,3.8
896,toguro,7.2K,6M,7.20K,1.6
897,citraciki,2.4K,12.7M,2.35K,2
898,advice,43.6K,12.7M,43.63K,0.2
899,virendersehwag,1.5K,7.2M,1.45K,3.1
900,virgilabloh,4.5K,7.2M,4.51K,1.8
901,alexmorgan13,1.1K,9.7M,1.07K,2.4
902,forever21,7.4K,14.4M,7.43K,0
903,raghavjuyal,2.3K,11.2M,2.25K,2.2
904,jassmanak,1K,8.4M,0.96K,2.4
905,thebriebella,4.7K,8.4M,4.70K,1.3
906,missalena.92,3.8K,6M,3.82K,1.1
907,loud_bak,146,6M,146,7.2
908,priscillaalcantara,55,6M,55,4.3
909,mariobautista,344,6M,344,1.1
910,ederbez,1K,16.2M,1.03K,2.3
911,jesselingard,648,9.7M,648,2.8
912,mahirahkhan,1.2K,9.7M,1.21K,1.6
913,laurenlondon,1.5K,9.7M,1.48K,7.9
914,igorjansen,1.7K,7.2M,1.70K,1.8
915,balleralert,50.9K,7.2M,50.94K,0.2
916,priya.p.varrier,743,7.2M,743,2.1
917,poojadhingra,4.7K,7.2M,4.68K,0
918,hannahstocking,1.3K,22M,1.31K,1.8
919,ashishchanchlani,1.6K,14.4M,1.59K,8.6
920,chadwickboseman,389,11.2M,389,19.8
921,wakeupandmakeup,20.4K,11.2M,20.40K,0.1
922,therealcalebmclaughlin,691,11.2M,691,5.8
923,noahschnapp,165,20M,165,11.1
924,kaka,1.4K,17.9M,1.40K,1.1
925,6pri1,410,6M,410,2.6
926,britishvogue,12.1K,6M,12.13K,0.3
927,normanthavaud,1.4K,6M,1.35K,2.7
928,maherzainofficial,1.5K,6M,1.49K,1
929,brazzersofficial,616,12.8M,616,0.5
930,pubgmobile,2.4K,9.8M,2.40K,1.3
931,pitbull,2.3K,9.8M,2.34K,0.6
932,thbarbosa,7.2K,9.8M,7.15K,0.6
933,rap,30.5K,9.8M,30.47K,1.1
934,lojasamericanas,24.2K,9.8M,24.19K,0
935,toeyjarinporn,9K,7.2M,8.98K,0.9
936,princeroyce,2K,14.5M,1.98K,0.7
937,kimshantal,272,11.2M,272,2.3
938,burberry,6.5K,20M,6.55K,0.2
939,khushi.vivekchoudhary,4K,8.4M,3.95K,1.8
940,andreapirlo21,496,8.4M,496,3.6
941,neelofa,2.3K,8.4M,2.29K,2.4
942,cosculluela,154,8.4M,154,2
943,nattyiceofficial,97,6M,97,17.6
944,jessicasimpson,1.2K,6M,1.15K,1.8
945,daniellachavezofficial,380,16.2M,380,0.7
946,leosantana,0.9K,16.2M,0.92K,1.1
947,miumiu,5.7K,9.8M,5.74K,0.1
948,bundesliga,25.3K,9.8M,25.30K,0.2
949,nature,7.5K,9.8M,7.48K,1.2
950,christinamilian,9.5K,7.2M,9.55K,1.2
951,da2_rizki123,161,7.2M,161,0.2
952,tovinothomas,3.3K,7.2M,3.32K,4
953,mlb,30.3K,7.2M,30.34K,1.2
954,carlosferiag,1.7K,7.2M,1.69K,1.5
955,leonardo,2K,14.5M,1.96K,0.7
956,gessicakayane,2.7K,20M,2.69K,2.2
957,f1,16.7K,20M,16.74K,1.4
958,taylor_hill,2.4K,20M,2.35K,1.5
959,euro2024,8.6K,11.3M,8.59K,0.6
960,adnaan_07dz,3.5K,11.2M,3.50K,1.4
961,8fact,8.2K,8.4M,8.21K,1
962,ezomola,1.9K,6M,1.92K,4.8
963,souljaboy,7.7K,6M,7.72K,1.1
964,soycintiacossio,331,6M,331,5.5
965,ulugbekhon,410,6M,410,2.6
966,soyummy,2.9K,9.8M,2.93K,0.6
967,chinamcclain,2.3K,7.2M,2.28K,5.5
968,wolperstylish,2.9K,7.2M,2.94K,0.1
969,neivamara,833,7.2M,833,2.2
970,rishabpant,339,7.2M,339,7
971,daquan,8.2K,16.2M,8.24K,3
972,badabun,14.1K,16.2M,14.14K,0.1
973,iza,2.1K,14.5M,2.10K,4
974,karrueche,186,12.8M,186,0.7
975,taapsee,2.7K,20M,2.71K,0.9
976,neslihanatagul,544,11.3M,544,9.9
977,gwenstefani,1.7K,11.3M,1.70K,1.1
978,erling.haaland,156,6.1M,156,12.1
979,npr,7.7K,6.1M,7.74K,0.3
980,sharfonseca,752,6.1M,752,4.1
981,elleusa,9.7K,6.1M,9.68K,0.3
982,rahimabramov,36,6.1M,36,5.8
983,mirandacosgrove,1.2K,9.8M,1.23K,4.6
984,ponysmakeup,890,7.2M,890,1.6
985,comedy,2.1K,7.2M,2.09K,0.3
986,yg,0,7.2M,0,4
987,mariaalice,110,7.2M,110,17.4
988,anitahassanandani,4K,7.2M,4.03K,2.3
989,corinthians,22.9K,7.2M,22.91K,0.7
990,lilpump,2,16.2M,2,4.5
991,pharrell,330,12.8M,330,0.8
992,bulgari,5.1K,12.8M,5.08K,0.2
993,jimmychoo,2.3K,11.3M,2.27K,0.2
994,dudeperfect,2.9K,11.3M,2.94K,1.9
995,lalioficial,6.7K,11.3M,6.75K,2.5
996,__youngbae__,874,11.3M,874,2.8
997,miamalkova,609,11.3M,609,2
998,thedailyshow,5.4K,8.5M,5.45K,0.7
999,gameofthrones,855,8.5M,855,4.2
1000,marquistrill,12,8.4M,12,1.7
1001,pink,1.6K,8.4M,1.57K,4.1
1002,kyrieirving,341,18M,341,1.7
1003,dodgeofficial,3.1K,6.1M,3.12K,1.7
1004,trentarnold66,477,6.1M,477,6.7
1005,sidhu_moosewala,156,6.1M,156,11.3
1006,sterling7,777,9.8M,777,1.6
1007,ygtrece,1.5K,9.8M,1.51K,1.6
1008,espn,31.7K,22.1M,31.68K,0.5
1009,sofiacarson,1.7K,16.2M,1.73K,4.1
1010,jhope_bighitentertainment,62,8.5M,62,18
1011,underarmour,3.5K,8.5M,3.47K,0.2
1012,taylerholder,1K,6.1M,1.02K,10.2
1013,tamannaahspeaks,1.7K,16.3M,1.69K,2.1
1014,mohanshakti,2K,16.3M,1.99K,1.6
1015,liltunechi,255,16.3M,255,0.8
1016,laflare1017,615,14.5M,615,2.5
1017,aron.piper,38,14.5M,38,12.1
1018,jheneaiko,2.5K,12.8M,2.52K,3.7
1019,brucelee,4K,7.2M,4.02K,0.3
1020,whydontwemusic,1K,7.2M,0.97K,3
1021,thibautcourtois,1.1K,7.2M,1.08K,1.3
1022,anabreco,2.2K,7.2M,2.19K,2.5
1023,vanityfair,9.2K,7.2M,9.20K,0.3
1024,symplysimi,176,8.5M,176,1.6
1025,henryl89,651,8.5M,651,2.5
1026,lucas_xx444,131,8.5M,131,22.7
1027,cnn,12.9K,18M,12.93K,0.4
1028,kareenakapoorkhan,537,9.8M,537,4.9
1029,i_nivethathomas,0.9K,6.1M,0.91K,5.8
1030,marshanda99,2.5K,6.1M,2.49K,0.3
1031,iluvsarahii,3.3K,6.1M,3.26K,1.5
1032,carasbrasil,17.6K,6.1M,17.63K,0.5
1033,vismaramartina,180,6.1M,180,3.6
1034,spacex,491,16.3M,491,1.9
1035,juliabarretto,1.9K,11.3M,1.89K,1.7
1036,xbox,1.1K,12.8M,1.10K,1.3
1037,bryanttmyers,51,7.2M,51,3
1038,meagangood,4K,7.2M,4.05K,0.8
1039,nodal,61,7.2M,61,9.1
1040,gabunion,4.2K,20.1M,4.19K,1.1
1041,parishilton,12.2K,20.1M,12.24K,0.3
1042,gagara1987,3.4K,8.5M,3.39K,2.2
1043,xtina,815,8.5M,815,1.6
1044,sonyelectronics,2K,8.5M,2.04K,0.2
1045,aliiiiiiiikarimi8,457,8.5M,457,6.9
1046,iss,2.9K,8.5M,2.85K,0.7
1047,hoodclips,5.2K,11.3M,5.18K,0.6
1048,sashapieterse,1.6K,11.3M,1.62K,3
1049,danawhite,7.6K,6.1M,7.59K,0.5
1050,anveshi25,3.1K,6.1M,3.10K,1.3
1051,riverplate,9.8K,6.1M,9.78K,1.9
1052,mariale,5.8K,6.1M,5.85K,0.9
1053,volkswagen,3.2K,9.9M,3.15K,0.1
1054,thenewclassic,101,14.6M,101,3.8
1055,stradivarius,3.3K,7.3M,3.29K,0.1
1056,razer,3.4K,7.3M,3.36K,0.5
1057,newyorkermag,10.3K,7.2M,10.34K,0.5
1058,deiveleonardo,2.4K,12.9M,2.37K,3.3
1059,iammichelemorroneofficial,604,12.8M,604,9
1060,toofaced,9.6K,12.8M,9.61K,0.1
1061,mohamedramadanws,2.9K,20.1M,2.93K,0.9
1062,colorstv,32.2K,6.1M,32.20K,0.3
1063,randyorton,318,6.1M,318,4.5
1064,fedeevalverde,438,6.1M,438,5.7
1065,maneskinofficial,300,6.1M,300,0.7
1066,sukrankaymak,2.9K,6.1M,2.94K,0.6
1067,shehnaazgill,1.2K,11.3M,1.21K,7.8
1068,karliekloss,3.6K,11.3M,3.65K,0.2
1069,camilacoelho,11.8K,9.9M,11.83K,1
1070,laurenjauregui,1.5K,8.5M,1.54K,3.6
1071,megandomani1410,705,8.5M,705,1.3
1072,gildovigor,224,14.6M,224,14.3
1073,bianca,6.9K,18M,6.86K,1.5
1074,madonna,5.4K,18M,5.38K,0.8
1075,acmilan,11.1K,12.9M,11.12K,0.6
1076,adamlevine,622,12.9M,622,1.5
1077,bambam1a,366,12.9M,366,10.7
1078,kehlani,632,12.9M,632,4.1
1079,zareenkhan,1.3K,12.9M,1.32K,0.9
1080,hilaryduff,2.9K,20.1M,2.88K,0.9
1081,cleo,3.2K,20.1M,3.16K,2.1
1082,coileray,218,6.1M,218,3.5
1083,penelopecruzoficial,1.3K,6.1M,1.27K,1.9
1084,ross_lynch,1.2K,11.3M,1.22K,10.7
1085,iniedo,1.9K,11.3M,1.86K,0.3
1086,oboticario,4.5K,9.9M,4.48K,0.1
1087,weareone.exo,2.1K,9.9M,2.12K,6.7
1088,ppteamlesslie,1K,8.5M,1K,2.3
1089,lisakudrow,206,8.5M,206,5.8
1090,joejonas,4.2K,12.9M,4.16K,1.5
1091,mterstegen1,660,12.9M,660,4.3
1092,nglkante,163,12.9M,163,8.3
1093,keerthysureshofficial,783,12.9M,783,5
1094,diplo,7.3K,6.1M,7.30K,1.3
1095,amira_riaa,2.4K,6.1M,2.38K,1.9
1096,tomford,2.9K,9.9M,2.86K,0.2
1097,garyvee,7.4K,9.9M,7.40K,0.7
1098,jayshetty,5.9K,8.5M,5.86K,2.1
1099,americanstyle,17.7K,8.5M,17.71K,0.4
1100,sadiomaneofficiel,246,8.5M,246,6
1101,jungkook_bighitentertainment,58,8.5M,58,23
